SYMBOL,DATE,COMPANY,EXCHANGE,CLOSE
GCBC,2013-10-30,Greene County Bancorp Inc,NASDAQ,13.09
GCBC,2013-11-01,Greene County Bancorp Inc,NASDAQ,13.08
GCBC,2013-11-04,Greene County Bancorp Inc,NASDAQ,13
GCBC,2013-11-05,Greene County Bancorp Inc,NASDAQ,13.25
GCBC,2013-11-06,Greene County Bancorp Inc,NASDAQ,13.03
GCBC,2013-11-07,Greene County Bancorp Inc,NASDAQ,13.26
GCBC,2013-11-08,Greene County Bancorp Inc,NASDAQ,14
GCBC,2013-11-15,Greene County Bancorp Inc,NASDAQ,13.5
GCBC,2013-11-19,Greene County Bancorp Inc,NASDAQ,13
GCBC,2013-11-20,Greene County Bancorp Inc,NASDAQ,12.97
GCBC,2013-11-21,Greene County Bancorp Inc,NASDAQ,12.56
GCBC,2013-11-22,Greene County Bancorp Inc,NASDAQ,12.68
GCBC,2013-11-29,Greene County Bancorp Inc,NASDAQ,12.88
GCBC,2013-12-02,Greene County Bancorp Inc,NASDAQ,12.88
GCBC,2013-12-03,Greene County Bancorp Inc,NASDAQ,12.97
GCBC,2013-12-04,Greene County Bancorp Inc,NASDAQ,13.72
GCBC,2013-12-05,Greene County Bancorp Inc,NASDAQ,13.3
GCBC,2013-12-06,Greene County Bancorp Inc,NASDAQ,12.92
GCBC,2013-12-09,Greene County Bancorp Inc,NASDAQ,12.96
GCBC,2013-12-16,Greene County Bancorp Inc,NASDAQ,13
GCBC,2013-12-17,Greene County Bancorp Inc,NASDAQ,12.96
GCBC,2013-12-20,Greene County Bancorp Inc,NASDAQ,13.5
GCBC,2013-12-23,Greene County Bancorp Inc,NASDAQ,12.87
GCBC,2013-12-24,Greene County Bancorp Inc,NASDAQ,13
GCBC,2014-01-02,Greene County Bancorp Inc,NASDAQ,12.78
GCBC,2014-01-06,Greene County Bancorp Inc,NASDAQ,13.12
GCBC,2014-01-09,Greene County Bancorp Inc,NASDAQ,12.66
GCBC,2014-01-16,Greene County Bancorp Inc,NASDAQ,12.66
GCBC,2014-01-17,Greene County Bancorp Inc,NASDAQ,12.66
GCBC,2014-01-21,Greene County Bancorp Inc,NASDAQ,12.8
GCBC,2014-01-23,Greene County Bancorp Inc,NASDAQ,12.76
GCBC,2014-01-24,Greene County Bancorp Inc,NASDAQ,12.65
GCBC,2014-01-27,Greene County Bancorp Inc,NASDAQ,12.65
GCBC,2014-02-03,Greene County Bancorp Inc,NASDAQ,12.79
GCBC,2014-02-04,Greene County Bancorp Inc,NASDAQ,13.45
GCBC,2014-02-05,Greene County Bancorp Inc,NASDAQ,12.62
GCBC,2014-02-06,Greene County Bancorp Inc,NASDAQ,12.5
GCBC,2014-02-07,Greene County Bancorp Inc,NASDAQ,12.6
GCBC,2014-02-11,Greene County Bancorp Inc,NASDAQ,12.85
GCBC,2014-02-18,Greene County Bancorp Inc,NASDAQ,12.94
GCBC,2014-02-19,Greene County Bancorp Inc,NASDAQ,13
GCBC,2014-02-21,Greene County Bancorp Inc,NASDAQ,12.88
GCBC,2014-02-24,Greene County Bancorp Inc,NASDAQ,13
GCBC,2014-02-25,Greene County Bancorp Inc,NASDAQ,12.75
GCBC,2014-02-26,Greene County Bancorp Inc,NASDAQ,12.8
GCBC,2014-02-27,Greene County Bancorp Inc,NASDAQ,12.65
GCBC,2014-02-28,Greene County Bancorp Inc,NASDAQ,13.68
GCBC,2014-03-03,Greene County Bancorp Inc,NASDAQ,12.7
GCBC,2014-03-04,Greene County Bancorp Inc,NASDAQ,12.68
GCBC,2014-03-06,Greene County Bancorp Inc,NASDAQ,12.65
GCBC,2014-03-07,Greene County Bancorp Inc,NASDAQ,12.75
GCBC,2014-03-10,Greene County Bancorp Inc,NASDAQ,12.75
GCBC,2014-03-14,Greene County Bancorp Inc,NASDAQ,12.8
GCBC,2014-03-17,Greene County Bancorp Inc,NASDAQ,13.32
GCBC,2014-03-21,Greene County Bancorp Inc,NASDAQ,12.68
GCBC,2014-03-28,Greene County Bancorp Inc,NASDAQ,12.85
GCBC,2014-04-03,Greene County Bancorp Inc,NASDAQ,12.77
GCBC,2014-04-07,Greene County Bancorp Inc,NASDAQ,12.75
GCBC,2014-04-09,Greene County Bancorp Inc,NASDAQ,12.8
GCBC,2014-04-10,Greene County Bancorp Inc,NASDAQ,12.8
GCBC,2014-04-11,Greene County Bancorp Inc,NASDAQ,27.45
GCBC,2014-04-17,Greene County Bancorp Inc,NASDAQ,12.9
GCBC,2014-04-21,Greene County Bancorp Inc,NASDAQ,12.8
GCBC,2014-04-22,Greene County Bancorp Inc,NASDAQ,12.88
GCBC,2014-04-23,Greene County Bancorp Inc,NASDAQ,12.93
GCBC,2014-04-24,Greene County Bancorp Inc,NASDAQ,13
GCBC,2014-04-25,Greene County Bancorp Inc,NASDAQ,12.8
GCBC,2014-04-28,Greene County Bancorp Inc,NASDAQ,12.81
GCBC,2014-04-29,Greene County Bancorp Inc,NASDAQ,13.34
GCBC,2014-05-02,Greene County Bancorp Inc,NASDAQ,13.12
GCBC,2014-05-05,Greene County Bancorp Inc,NASDAQ,12.92
GCBC,2014-05-09,Greene County Bancorp Inc,NASDAQ,12.91
GCBC,2014-05-16,Greene County Bancorp Inc,NASDAQ,12.86
GCBC,2014-05-20,Greene County Bancorp Inc,NASDAQ,13.34
GCBC,2014-05-22,Greene County Bancorp Inc,NASDAQ,13.06
GCBC,2014-05-23,Greene County Bancorp Inc,NASDAQ,12.91
GCBC,2014-05-29,Greene County Bancorp Inc,NASDAQ,12.96
GCBC,2014-05-30,Greene County Bancorp Inc,NASDAQ,13.19
GCBC,2014-06-02,Greene County Bancorp Inc,NASDAQ,13.49
GCBC,2014-06-04,Greene County Bancorp Inc,NASDAQ,13.03
